**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
mai 31 15:37:38 Tcl interface unloaded
mai 31 15:37:39 Python interface unloaded
**** FIN DU JOURNAL À Sat May 31 15:37:39 2008

**** DÉBUT DU JOURNAL À Tue Jun  3 21:38:26 2008

jun 03 21:38:26 *	Vous parlez maintenant sur #debian-fr
jun 03 21:38:26 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP http://lists.debian.org/debian-security-announce/2008/msg00152.html
jun 03 21:38:26 *	Sujet de #debian-fr défini par arachne le Wed May 14 09:24:45 2008
jun 03 21:38:26 *	#debian-fr :http://www.debian.org/index.fr.html
jun 03 22:00:10 *	Nanthrax est parti ("WeeChat 0.2.6")
jun 03 22:10:25 *	mardi_soir est parti (Remote closed the connection)
jun 03 22:13:42 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 03 22:16:32 *	emor3j (n=emor3j@APoitiers-259-1-104-254.w90-60.abo.wanadoo.fr) a rejoint #debian-fr
jun 03 22:16:49 <emor3j>	Salut
jun 03 22:24:26 *	lambda_ est parti (Remote closed the connection)
jun 03 22:27:08 *	Ekinoks (n=ekinoks@66.64.69-86.rev.gaoland.net) a rejoint #debian-fr
jun 03 22:32:38 *	toffmini est parti ("Ex-Chat")
jun 03 22:35:35 *	rage est parti ("Quitte")
jun 03 22:45:43 *	chpo est parti ("WeeChat 0.2.5")
jun 03 22:51:25 *	ayeuu est parti (Read error: 54 (Connection reset by peer))
jun 03 23:03:07 *	ayeuu (n=ayeuu@tss37-1-82-228-161-185.fbx.proxad.net) a rejoint #debian-fr
jun 03 23:04:46 *	ayeuu s'appelle maintenant _ben_
jun 03 23:05:05 *	_ben_ (n=ayeuu@tss37-1-82-228-161-185.fbx.proxad.net) a quitté #debian-fr ("Leaving")
jun 03 23:05:55 *	ayeuu (n=ayeuu@tss37-1-82-228-161-185.fbx.proxad.net) a rejoint #debian-fr
**** DÉBUT DU JOURNAL À Sun Jun  8 19:21:17 2008

jun 08 19:21:17 *	Vous parlez maintenant sur #debian-fr
jun 08 19:21:17 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP http://lists.debian.org/debian-security-announce/2008/msg00152.html
jun 08 19:21:17 *	Sujet de #debian-fr défini par arachne le Wed May 14 09:24:45 2008
jun 08 19:21:18 *	#debian-fr :http://www.debian.org/index.fr.html
jun 08 19:27:09 *	taffit est parti (Read error: 110 (Connection timed out))
jun 08 19:28:13 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - ou pas.")
jun 08 19:53:36 *	PsRAM (i=support@unaffiliated/niak) a rejoint #debian-fr
jun 08 19:53:39 *	PsRAM (i=support@unaffiliated/niak) a quitté #debian-fr ("Je vous fait part de notre site web si vous avez des questions n'hésitez pas à nous contacter sur notre site à cette adress")
jun 08 20:09:34 *	mickey08 est parti (Read error: 110 (Connection timed out))
jun 08 20:09:57 *	mickey08 (n=michael@AReims-151-1-57-187.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 08 20:16:00 <Salazar>	plop
jun 08 20:24:40 *	elf_des_abimes (n=nathan@ant06-1-82-242-111-119.fbx.proxad.net) a rejoint #debian-fr
jun 08 20:40:10 *	Nanthrax est parti ("WeeChat 0.2.6")
jun 08 20:42:22 *	Jb`boin est parti (Read error: 104 (Connection reset by peer))
jun 08 20:42:31 *	Jb-boin (n=duator@ip-134.net-81-220-156.grenoble.rev.numericable.fr) a rejoint #debian-fr
jun 08 20:45:01 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
jun 08 20:50:38 *	cpasmoi s'appelle maintenant c-moi
jun 08 20:56:42 *	Yoda-BZH (i=yoda@elonia.yoda-bzh.net) a rejoint #debian-fr
jun 08 20:58:30 *	ticoli est parti (Remote closed the connection)
jun 08 20:59:21 *	Martial (n=Martial@ANantes-152-1-21-158.w83-195.abo.wanadoo.fr) a rejoint #debian-fr
jun 08 20:59:40 <Martial>	re
jun 08 20:59:59 *	Pinkilla__ (n=Pinkilla@cl-285.bru-01.be.sixxs.net) a rejoint #debian-fr
jun 08 21:00:08 *	insomnik (n=insomnik@jol13-1-82-66-176-18.fbx.proxad.net) a rejoint #debian-fr
jun 08 21:03:46 *	Pinkilla_ est parti (Read error: 104 (Connection reset by peer))
jun 08 21:09:02 *	taffit (n=taffit@81.52.255.6) a rejoint #debian-fr
jun 08 21:10:36 <man-x86>	j'ai l'impression que PsRAM est un pote de qid et de l'autre kevin
jun 08 21:12:56 *	Anakin-skywalker (n=superfun@arg62-2-88-160-238-21.fbx.proxad.net) a rejoint #debian-fr
jun 08 21:13:50 *	taffit (n=taffit@81.52.255.6) a quitté #debian-fr
jun 08 21:14:01 *	taffit (n=taffit@81.52.255.6) a rejoint #debian-fr
jun 08 21:14:08 <Gniarf>	le gus redirigé ici par #ubuntu-fr ?
jun 08 21:14:45 <Gniarf>	il va finir chez #gcu
jun 08 21:15:57 <man-x86>	on peut rediriger les gens plusieurs fois de suite comme ca?
jun 08 21:21:13 <Gniarf>	comment veux-tu qu'on sache sans essayer ? :)
jun 08 21:21:32 <Gniarf>	par contre il faudra quelqu'un là bas pour l'entendre couiner
jun 08 21:21:56 *	Anakin-skywalker est parti ()
jun 08 21:23:43 <Gniarf>	en tout cas, son profil colle bien
jun 08 21:24:27 <pikapika>	 /whois PsRAM
jun 08 21:24:30 <pikapika>	oups
jun 08 21:25:35 <Gniarf>	/msg PsRAM hey pikapika t'a fait un whois !@#$
jun 08 21:26:09 <ptitlouis>	:)
jun 08 21:26:14 *	ChanServ donne l'état d'opérateur de canal à Gniarf
jun 08 21:26:17 *	Gniarf supprime l'état de bannissement de *!*francois@*
jun 08 21:26:17 *	Gniarf supprime l'état de bannissement de %*!*vincent@*.club-internet.fr
jun 08 21:27:52 <pikapika>	he he
jun 08 21:28:13 <pikapika>	mille bots en vb sur sur ta descendance
jun 08 21:28:40 <pikapika>	ca existe encore zizinux
jun 08 21:28:51 <Gniarf>	cretinux
jun 08 21:29:47 <Gniarf>	mh
jun 08 21:30:08 <Gniarf>	ca marche chez vous ? /cs list cret*
jun 08 21:30:19 <Gniarf>	(ou whatever le critere de recherche)
jun 08 21:32:11 *	Jb`boin (n=duator@ip-72.net-81-220-160.rev.numericable.fr) a rejoint #debian-fr
jun 08 21:33:41 <pikapika>	<< No script provides '/cs'
jun 08 21:36:19 <Gniarf>	mh
jun 08 21:36:46 <Gniarf>	enfin, /msg chanserv list *thisisjustatest*
jun 08 21:37:27 <Gniarf>	j'ai du me faire repérer : You are not authorized to perform this operation.
jun 08 21:37:45 <pikapika>	ALETER PIRATE
jun 08 21:50:16 *	Jb-boin est parti (Read error: 110 (Connection timed out))
jun 08 21:54:30 *	emor3j (n=emor3j@APoitiers-259-1-24-146.w90-55.abo.wanadoo.fr) a rejoint #debian-fr
jun 08 21:54:49 <emor3j>	Salut
jun 08 21:59:22 *	pikapika_ (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 08 22:03:54 *	pikapika est parti (Read error: 104 (Connection reset by peer))
jun 08 22:08:25 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 08 22:19:07 *	pikapika_ est parti (Read error: 110 (Connection timed out))
jun 08 22:32:01 <mickey08>	hop
jun 08 22:32:12 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 08 22:33:03 *	rage7 est parti ("Quitte")
jun 08 22:38:08 *	lambda__ est parti ("Quitte")
jun 08 23:01:20 *	pikapika est parti (Read error: 110 (Connection timed out))
jun 08 23:10:02 *	elf_des_abimes est parti (Remote closed the connection)
jun 08 23:10:59 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 08 23:11:06 *	Sano est parti (Remote closed the connection)
jun 08 23:15:00 *	mardi_soir est parti (Remote closed the connection)
jun 08 23:17:21 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 08 23:19:45 *	Jonk_ est parti ()
jun 08 23:22:49 *	sablov est parti ("Leaving")
**** FIN DU JOURNAL À Sun Jun  8 23:25:14 2008

**** DÉBUT DU JOURNAL À Tue Jun 10 21:52:31 2008

jun 10 21:52:31 *	Vous parlez maintenant sur #debian-fr
jun 10 21:52:31 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP http://lists.debian.org/debian-security-announce/2008/msg00152.html
jun 10 21:52:31 *	Sujet de #debian-fr défini par arachne le Wed May 14 09:24:45 2008
jun 10 21:52:32 *	#debian-fr :http://www.debian.org/index.fr.html
jun 10 22:25:56 *	chpo (n=chpo@gra94-11-88-174-252-154.fbx.proxad.net) a rejoint #debian-fr
jun 10 22:36:18 *	ThArGos (n=thargos@thargos.rdm-team.com) a rejoint #debian-fr
jun 10 22:37:45 <ThArGos>	soir
jun 10 22:41:53 *	chpo est parti ("WeeChat 0.2.5")
jun 10 22:41:57 <mickey08>	hop
jun 10 22:42:02 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 10 22:48:51 *	rage7 est parti ("Quitte")
jun 10 22:54:24 *	RedBlack est parti ()
jun 10 22:54:40 *	lambda__ est parti (Remote closed the connection)
**** DÉBUT DU JOURNAL À Sat Jun 14 19:10:12 2008

jun 14 19:10:12 *	Vous parlez maintenant sur #debian-fr
jun 14 19:10:12 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 14 19:10:12 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 14 19:10:13 *	#debian-fr :http://www.debian.org/index.fr.html
jun 14 19:15:09 *	Sano est parti (Remote closed the connection)
jun 14 19:15:11 *	goldyfruit (n=goldyfru@goldzoneweb.info) a rejoint #debian-fr
jun 14 19:27:59 *	mardi_soir est parti (Remote closed the connection)
jun 14 19:39:51 *	mickey08 (n=michael@AReims-151-1-28-31.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 14 19:40:07 <mickey08>	re / jour
jun 14 20:11:38 *	Zic est parti ("GNU/Linux The dynamic duo")
jun 14 20:17:22 *	Zword (n=Zword@2a01:e35:2e2e:a6a0:21d:60ff:fe91:4895) a rejoint #debian-fr
jun 14 20:31:08 *	TiteFleur est parti ("quit")
jun 14 20:31:36 *	lambda__ est parti ("Quitte")
jun 14 20:31:46 *	TiteFleur (n=TiteFleu@gentoo/developer/titefleur) a rejoint #debian-fr
jun 14 20:41:09 *	keikoz (n=keikoz@m163.net81-64-172.noos.fr) a rejoint #debian-fr
jun 14 20:41:38 <keikoz>	bonsoir
jun 14 21:02:49 *	Martial_ est parti (Remote closed the connection)
jun 14 21:13:41 *	Pinkilla est parti (Read error: 104 (Connection reset by peer))
jun 14 21:14:15 *	Pinkilla (n=Pinkilla@cl-285.bru-01.be.sixxs.net) a rejoint #debian-fr
jun 14 21:40:08 *	Gniarf est parti (Read error: 104 (Connection reset by peer))
jun 14 21:40:11 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
jun 14 21:43:44 *	goldyfruit est parti ("Quitte")
jun 14 21:53:33 *	Nanthrax est parti (Read error: 104 (Connection reset by peer))
jun 14 21:54:20 *	Nanthrax (n=jb@jbonofre.net1.nerim.net) a rejoint #debian-fr
jun 14 22:03:37 Tcl interface unloaded
jun 14 22:03:37 Python interface unloaded
**** FIN DU JOURNAL À Sat Jun 14 22:03:37 2008

**** DÉBUT DU JOURNAL À Thu Jun 19 18:50:13 2008

jun 19 18:50:13 *	Vous parlez maintenant sur #debian-fr
jun 19 18:50:13 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 19 18:50:13 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 19 18:50:14 *	#debian-fr :http://www.debian.org/index.fr.html
jun 19 18:51:03 *	chpo est parti ("WeeChat 0.2.5")
jun 19 18:59:48 *	Jb-boin est parti (Read error: 110 (Connection timed out))
jun 19 19:02:48 *	galette s'appelle maintenant galette[aw]
jun 19 19:11:49 *	sablov est parti ("This computer has gone to sleep")
jun 19 19:19:34 *	Jb-boin (n=duator@ip-72.net-81-220-160.rev.numericable.fr) a rejoint #debian-fr
jun 19 19:21:05 *	Flower-rose (n=UBUNTIST@unaffiliated/ubuntu-power) a rejoint #debian-fr
jun 19 19:21:08 <Flower-rose>	bonsoir
jun 19 19:21:22 *	arnaud_ a expulsé Flower-rose de #debian-fr (shame on your hostname)
jun 19 19:21:36 <ptitlouis>	ah tiens
jun 19 19:21:38 <ptitlouis>	un oublie
jun 19 19:21:52 *	ptitlouis a expulsé galette[aw] de #debian-fr (osef que tu sois aw ou pas)
jun 19 19:21:52 *	galette[aw] (n=galette@host217-37-7-249.in-addr.btopenworld.com) a rejoint #debian-fr
jun 19 19:21:57 <ptitlouis>	baballe
jun 19 19:21:58 *	Flower-rose (n=UBUNTIST@unaffiliated/ubuntu-power) a rejoint #debian-fr
jun 19 19:22:02 <Flower-rose>	c est quoi le problème ?
jun 19 19:22:04 <ptitlouis>	double
jun 19 19:22:10 <Gniarf>	TOI
jun 19 19:22:14 <Flower-rose>	pourquoi ?
jun 19 19:22:19 <ptitlouis>	PARCE QUE
jun 19 19:22:31 <Flower-rose>	ah ....
jun 19 19:26:09 <mickey08>	ptitlouis> //love
jun 19 19:26:44 <mickey08>	pfu
jun 19 19:26:48 <mickey08>	on le love il répond pas !
jun 19 19:26:51 <mickey08>	BECHEUSE !
jun 19 19:26:57 <arnaud_>	il te fait surement cocu
jun 19 19:27:01 <mickey08>	oué
jun 19 19:27:04 <mickey08>	avec ta daronne ?
jun 19 19:27:11 <arnaud_>	t'etais pas au courant ?
jun 19 19:27:15 <mickey08>	ben non :/
jun 19 19:27:22 <mickey08>	là chuis déçu
jun 19 19:27:31 <arnaud_>	pourtant  je l'ai annonce a la tienne
jun 19 19:27:32 <mickey08>	j'étais sa chose
jun 19 19:27:36 <mickey08>	ah oué ?
jun 19 19:27:43 <mickey08>	pourtant je l'ai eu au tel toute
jun 19 19:27:46 <mickey08>	elle m'a rien dit
jun 19 19:27:51 <arnaud_>	elle avait ptet peur de ta reaction
jun 19 19:28:00 <mickey08>	oué
jun 19 19:28:03 <mickey08>	surement
jun 19 19:28:08 <arnaud_>	ou encore sous l'extase de sa derniere sodomie
jun 19 19:28:29 <mickey08>	!
jun 19 19:28:39 <ptitlouis>	mickey08: //coeur
jun 19 19:28:56 <mickey08>	ah ben tout de meme !
jun 19 19:29:02 <mickey08>	tu étais chou ?
jun 19 19:29:27 <mickey08>	manque où
jun 19 19:29:57 <ptitlouis>	ca te va si je dis "dtc" ? :)
jun 19 19:30:12 <mickey08>	hum
jun 19 19:30:14 <mickey08>	pas la place
jun 19 19:30:19 <mickey08>	y a arnaud_ qui seche
jun 19 19:30:24 <ptitlouis>	krkrkr
jun 19 19:31:41 <arnaud_>	jeme retire s'il faut
jun 19 19:33:04 <Gniarf>	je vous demande de vous arreter
jun 19 19:33:29 <arnaud_>	retourne te goinfrer de divin nectar toi
jun 19 19:34:06 <Gniarf>	j'en suis à l'armagnac
jun 19 19:39:52 <ptitlouis>	need
jun 19 19:40:18 *	keulin est parti ("salut.")
jun 19 19:40:39 *	keulin (n=cray@bne75-5-82-231-224-34.fbx.proxad.net) a rejoint #debian-fr
jun 19 19:46:28 <mickey08>	spa mal l'armagnac avec du coca
jun 19 19:46:36 <ptitlouis>	no need coca
jun 19 19:46:48 <ptitlouis>	d'ailleurs vais me prendre un petit bourbon la
jun 19 19:46:51 <mickey08>	need ptitlouis //love
jun 19 19:46:54 <mickey08>	pfu
jun 19 19:46:59 <mickey08>	mais vous buvez de la merde !
jun 19 19:47:05 <arnaud_>	moi j'vais prendre vos daronnes, parce que y'a pas une goute d'alcool potable ici
jun 19 19:47:19 <ptitlouis>	mickey08: nan  on boit pas de la merde
jun 19 19:49:21 *	keulin est parti ("salut.")
jun 19 19:49:33 *	keulin (n=cray@bne75-5-82-231-224-34.fbx.proxad.net) a rejoint #debian-fr
jun 19 19:51:58 *	ayeuu- (n=ayeuu@AOrleans-258-1-134-198.w90-21.abo.wanadoo.fr) a rejoint #debian-fr
jun 19 19:52:12 *	ayeuu est parti (Read error: 131 (Connection reset by peer))
jun 19 19:52:47 *	ayeuu- s'appelle maintenant ayeuu
jun 19 20:03:52 <jaroug>	du coca avec de l'armagnac
jun 19 20:03:56 <jaroug>	on aura tout lu ici
jun 19 20:04:26 <Gniarf>	pas encore
jun 19 20:04:29 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 19 20:06:38 *	Nanthrax (n=jb@jbonofre.net1.nerim.net) a rejoint #debian-fr
jun 19 20:08:14 <arnaud_>	need pics des tits de tes reus
jun 19 20:08:23 <Gniarf>	http://search.askjolene.com/search?qr=zoo
jun 19 20:09:34 <arnaud_>	ahah
jun 19 20:11:17 *	Zic est parti ("GNU/Linux The dynamic duo")
jun 19 20:15:23 *	ayeuu est parti ("|4m42: Correction reset by beer")
jun 19 20:17:39 <Gniarf>	(on ne les entend plus)
jun 19 20:19:06 *	chpo (n=chpo@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
jun 19 20:22:03 *	mardi_soir est parti (Read error: 104 (Connection reset by peer))
jun 19 20:36:46 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 19 20:36:46 *	{Chris} est parti (Read error: 60 (Operation timed out))
jun 19 20:39:00 *	toffmini est parti (Read error: 104 (Connection reset by peer))
jun 19 20:40:32 *	Yoda-BZH (n=yoda-bzh@solene.yoda-bzh.net) a rejoint #debian-fr
jun 19 20:53:06 *	keikoz (n=keikoz@m163.net81-64-172.noos.fr) a rejoint #debian-fr
jun 19 20:53:39 *	ayeuu (n=ayeuu@tss37-1-82-228-161-185.fbx.proxad.net) a rejoint #debian-fr
jun 19 20:54:23 *	toffmini (n=kristoff@lns-bzn-24-82-64-163-234.adsl.proxad.net) a rejoint #debian-fr
jun 19 21:18:50 *	Nanthrax est parti ("WeeChat 0.2.6")
jun 19 21:24:57 *	chpo est parti ("WeeChat 0.2.5")
jun 19 22:23:21 <mickey08>	hop
jun 19 22:23:24 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
**** DÉBUT DU JOURNAL À Sat Jun 21 19:28:17 2008

jun 21 19:28:17 *	Vous parlez maintenant sur #debian-fr
jun 21 19:28:17 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 21 19:28:17 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 21 19:28:18 *	#debian-fr :http://www.debian.org/index.fr.html
jun 21 19:31:42 *	Jonk_ (n=Jonk_@guy78-1-82-235-118-7.fbx.proxad.net) a rejoint #debian-fr
jun 21 20:16:15 *	Shisui` est parti (Read error: 104 (Connection reset by peer))
jun 21 20:16:39 *	Shisui` (n=chris@AAmiens-152-1-56-71.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
**** DÉBUT DU JOURNAL À Sun Jun 22 16:37:34 2008

jun 22 16:37:34 *	Vous parlez maintenant sur #debian-fr
jun 22 16:37:34 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 22 16:37:34 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 22 16:37:35 *	#debian-fr :http://www.debian.org/index.fr.html
jun 22 16:43:24 *	ThArGos est parti ("Quitte")
jun 22 16:45:34 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - ou pas.")
jun 22 16:47:46 *	Flew (n=jackiech@home.nicolas-fr.net) a rejoint #debian-fr
jun 22 16:50:31 *	Flew (n=jackiech@home.nicolas-fr.net) a quitté #debian-fr
jun 22 17:01:28 *	mardi_soir est parti (Read error: 104 (Connection reset by peer))
jun 22 17:01:31 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 22 17:02:07 *	mardi_soir est parti (Read error: 104 (Connection reset by peer))
jun 22 17:02:15 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 22 17:15:23 *	mickey08 (n=michael@AReims-151-1-95-28.w86-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 17:15:42 <mickey08>	re
jun 22 17:37:25 *	rage est parti ("Quitte")
jun 22 17:44:07 *	tigrou3tac est parti (Remote closed the connection)
jun 22 18:37:52 *	Yoda-BZH (n=yoda-bzh@solene.yoda-bzh.net) a rejoint #debian-fr
jun 22 18:42:12 *	adema est parti (Remote closed the connection)
jun 22 19:23:52 *	Shisui (n=chris@AAmiens-152-1-70-15.w86-207.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 19:27:47 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 22 19:28:12 <pikapika>	:)
jun 22 19:44:07 *	Ekinoks est parti (Read error: 104 (Connection reset by peer))
jun 22 19:53:43 *	Zarla est parti ("RMS President !")
jun 22 19:54:32 *	ticoli (n=ticoli@seb44-1-88-163-77-142.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:02:12 *	ticoli est parti (Remote closed the connection)
jun 22 20:08:31 *	Ekinoks (n=ekinoks@112.142.194-77.rev.gaoland.net) a rejoint #debian-fr
jun 22 20:13:20 *	keikoz (n=keikoz@m163.net81-64-172.noos.fr) a rejoint #debian-fr
jun 22 20:30:48 *	lukas` (i=lucas@ARennes-351-1-59-74.w82-126.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 20:32:56 <mickey08>	orage bis
jun 22 20:32:57 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 22 20:47:32 *	ayeuu est parti (Read error: 148 (No route to host))
jun 22 21:43:30 *	Zic est parti ("GNU/Linux The dynamic duo")
jun 22 21:48:15 *	adri1bip (n=adrien@sd-14369.dedibox.fr) a rejoint #debian-fr
jun 22 21:48:45 *	Shisui est parti ("Quitte")
jun 22 22:06:20 *	Shisui (n=chris@AAmiens-152-1-70-15.w86-207.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 22:08:46 *	aiku (n=chatzill@host37-185-dynamic.0-87-r.retail.telecomitalia.it) a rejoint #debian-fr
jun 22 22:31:07 *	rage (n=nicolas@AAmiens-157-1-157-240.w86-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 22:38:25 *	keikoz est parti ("Leaving")
jun 22 22:41:35 Tcl interface unloaded
jun 22 22:41:35 Python interface unloaded
**** FIN DU JOURNAL À Sun Jun 22 22:41:35 2008

**** DÉBUT DU JOURNAL À Mon Jun 23 15:21:11 2008

jun 23 15:21:11 *	Vous parlez maintenant sur #debian-fr
jun 23 15:21:11 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 23 15:21:11 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 23 15:21:11 *	#debian-fr :http://www.debian.org/index.fr.html
jun 23 15:23:33 *	Yoda-BZH (i=yoda@elonia.yoda-bzh.net) a rejoint #debian-fr
jun 23 15:29:16 *	_trucMuche s'appelle maintenant trucMuche
jun 23 15:29:48 <trucMuche>	salut
jun 23 16:01:17 *	pikapika est parti ("bye")
**** FIN DU JOURNAL À Mon Jun 23 16:13:35 2008

**** DÉBUT DU JOURNAL À Mon Jun 23 19:36:23 2008

jun 23 19:36:23 *	Vous parlez maintenant sur #debian-fr
jun 23 19:36:23 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 23 19:36:23 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 23 19:36:23 *	#debian-fr :http://www.debian.org/index.fr.html
jun 23 19:36:23 *	#debian-fr :[freenode-info] channel flooding and no channel staff around to help? please check with freenode support: http://freenode.net/faq.shtml#gettinghelp
jun 23 19:41:49 *	ticoli (n=ticoli@seb44-1-88-163-77-142.fbx.proxad.net) a rejoint #debian-fr
jun 23 19:42:28 *	Ekinoks est parti (Remote closed the connection)
jun 23 19:43:15 *	chpo (n=chpo@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
jun 23 19:56:23 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 23 20:01:47 *	Shisui est parti (Read error: 104 (Connection reset by peer))
jun 23 20:02:10 *	Shisui (n=chris@AAmiens-152-1-72-165.w86-207.abo.wanadoo.fr) a rejoint #debian-fr
jun 23 20:05:29 *	ticoli est parti (Remote closed the connection)
**** DÉBUT DU JOURNAL À Sat Jun 28 12:54:49 2008

jun 28 12:54:49 *	Vous parlez maintenant sur #debian-fr
jun 28 12:54:49 *	Le sujet de #debian-fr est : le canal officiel francophone de support pour GNU/Debian est #debian-fr sur OFTC (irc.oftc.net). ce n'est pas ici. FOUTEZ LE CAMP.
jun 28 12:54:49 *	Sujet de #debian-fr défini par arachne le Fri Jun 13 11:57:56 2008
jun 28 12:54:50 *	#debian-fr :http://www.debian.org/index.fr.html
jun 28 13:33:44 *	Shisui` (n=chris@AAmiens-152-1-43-212.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 28 13:40:11 *	Mr-Yann (n=mryann@ALyon-156-1-113-235.w86-216.abo.wanadoo.fr) a rejoint #debian-fr
jun 28 13:41:08 *	clemux est parti (heinlein.freenode.net irc.freenode.net)
jun 28 13:41:08 *	fosco est parti (heinlein.freenode.net irc.freenode.net)
jun 28 13:41:18 *	fosco (i=fosco@konoha.devnullteam.org) a rejoint #debian-fr
jun 28 13:41:18 *	clemux (n=clemux@88.181.70.66) a rejoint #debian-fr
jun 28 13:52:03 *	Shisui est parti (Read error: 110 (Connection timed out))
jun 28 13:55:36 *	dr-jnut (n=drjnut@ANice-151-1-2-90.w83-113.abo.wanadoo.fr) a rejoint #debian-fr
jun 28 14:23:16 *	mardi_soir est parti ("croix")
jun 28 14:34:02 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - ou pas.")
jun 28 14:36:46 *	Shisui` est parti (Read error: 104 (Connection reset by peer))
jun 28 14:37:09 *	Shisui` (n=chris@AAmiens-152-1-43-212.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
jun 28 14:48:16 *	Shisui` s'appelle maintenant Shisui
jun 28 15:25:57 *	Vincent_-- est parti ()
jun 28 15:26:04 *	Eusebus (n=P@vds792.sivit.org) a quitté #debian-fr
jun 28 15:26:57 *	Vincent_-- (n=vincent@ANantes-156-1-149-21.w86-195.abo.wanadoo.fr) a rejoint #debian-fr
jun 28 15:34:29 *	Vincent_-- est parti ()
